Id,Name,Category,Brand,Description,Price,Url
1,產品1,電子產品,品牌A,這是產品1的描述,19.99,https://www.test.com.tw/1
2,產品2,服裝,品牌B,這是產品2的描述,29.99,https://www.test.com.tw/2
3,產品3,家電,品牌C,這是產品3的描述,39.99,https://www.test.com.tw/3
4,產品4,書籍,品牌D,這是產品4的描述,9.99,https://www.test.com.tw/4
5,產品5,玩具,品牌E,這是產品5的描述,14.99,https://www.test.com.tw/5
6,產品6,電子產品,品牌A,這是產品6的描述,49.99,https://www.test.com.tw/6
7,產品7,服裝,品牌B,這是產品7的描述,59.99,https://www.test.com.tw/7
8,產品8,家電,品牌C,這是產品8的描述,69.99,https://www.test.com.tw/8
9,產品9,書籍,品牌D,這是產品9的描述,19.99,https://www.test.com.tw/9
10,產品10,玩具,品牌E,這是產品10的描述,24.99,https://www.test.com.tw/10
11,產品11,電子產品,品牌A,這是產品11的描述,79.99,https://www.test.com.tw/11
12,產品12,服裝,品牌B,這是產品12的描述,89.99,https://www.test.com.tw/12
13,產品13,家電,品牌C,這是產品13的描述,99.99,https://www.test.com.tw/13
14,產品14,書籍,品牌D,這是產品14的描述,29.99,https://www.test.com.tw/14
15,產品15,玩具,品牌E,這是產品15的描述,34.99,https://www.test.com.tw/15
16,產品16,電子產品,品牌A,這是產品16的描述,109.99,https://www.test.com.tw/16
17,產品17,服裝,品牌B,這是產品17的描述,119.99,https://www.test.com.tw/17
18,產品18,家電,品牌C,這是產品18的描述,129.99,https://www.test.com.tw/18
19,產品19,書籍,品牌D,這是產品19的描述,39.99,https://www.test.com.tw/19
20,產品20,玩具,品牌E,這是產品20的描述,44.99,https://www.test.com.tw/20
21,產品21,電子產品,品牌A,這是產品21的描述,149.99,https://www.test.com.tw/21
22,產品22,服裝,品牌B,這是產品22的描述,159.99,https://www.test.com.tw/22
23,產品23,家電,品牌C,這是產品23的描述,169.99,https://www.test.com.tw/23
24,產品24,書籍,品牌D,這是產品24的描述,49.99,https://www.test.com.tw/24
25,產品25,玩具,品牌E,這是產品25的描述,54.99,https://www.test.com.tw/25
26,產品26,電子產品,品牌A,這是產品26的描述,189.99,https://www.test.com.tw/26
